year,state_abbr,state,county,fips,category,measure_id,measure,short_question_text,prevalence,lower_ci,upper_ci,total_population,adult_population,relative_ci_width
2022,OH,Ohio,Butler,39017,Health Risk Behaviors,LPA,No leisure-time physical activity among adults,Physical Inactivity,24.9,21.8,28.3,388420,298743,0.26104417670682734
2022,OH,Ohio,Butler,39017,Prevention,MAMMOUSE,Mammography use among women aged 50-74 years,Mammography,78.5,72.3,84,388420,298743,0.14904458598726117
2022,OH,Ohio,Butler,39017,Health Status,MHLTH,Frequent mental distress among adults,Frequent Mental Distress,20.1,18.4,21.9,388420,298743,0.17412935323383083
2022,OH,Ohio,Butler,39017,Health Outcomes,OBESITY,Obesity among adults,Obesity,36.5,31.5,41.7,388420,298743,0.2794520547945206
2022,OH,Ohio,Carroll,39019,Prevention,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Health Insurance,10.5,9.3,11.8,26659,21168,0.23809523809523808
2021,OH,Ohio,Carroll,39019,Health Outcomes,BPHIGH,High blood pressure among adults,High Blood Pressure,32,28.1,35.9,26659,21168,0.2437499999999999
2022,OH,Ohio,Carroll,39019,Prevention,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Annual Checkup,74.3,70.1,78.2,26659,21168,0.10901749663526257
2022,OH,Ohio,Carroll,39019,Health Risk Behaviors,CSMOKING,Current cigarette smoking among adults,Current Cigarette Smoking,24.6,21.9,27.5,26659,21168,0.22764227642276427
2022,OH,Ohio,Carroll,39019,Health Outcomes,DEPRESSION,Depression among adults,Depression,29.1,25.2,33.3,26659,21168,0.2783505154639174
2022,OH,Ohio,Carroll,39019,Health Outcomes,DIABETES,Diagnosed diabetes among adults,Diabetes,12.3,10.7,14,26659,21168,0.2682926829268293
2022,OH,Ohio,Carroll,39019,Health-Related Social Needs,FOODINSECU,Food insecurity in the past 12 months among adults,Food Insecurity,13.2,11.6,14.8,26659,21168,0.24242424242424251
2022,OH,Ohio,Carroll,39019,Health-Related Social Needs,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,8.9,8.1,9.9,26659,21168,0.20224719101123603
2022,OH,Ohio,Carroll,39019,Health Risk Behaviors,LPA,No leisure-time physical activity among adults,Physical Inactivity,29.4,25.1,34,26659,21168,0.3027210884353741
2022,OH,Ohio,Carroll,39019,Prevention,MAMMOUSE,Mammography use among women aged 50-74 years,Mammography,75.3,67.6,82,26659,21168,0.19123505976095626
2022,OH,Ohio,Carroll,39019,Health Status,MHLTH,Frequent mental distress among adults,Frequent Mental Distress,22.5,20.5,24.6,26659,21168,0.18222222222222229
2022,OH,Ohio,Carroll,39019,Health Outcomes,OBESITY,Obesity among adults,Obesity,40.7,33.7,48.1,26659,21168,0.35380835380835374
2022,OH,Ohio,Champaign,39021,Prevention,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Health Insurance,8.9,7.9,10.1,38709,30246,0.24719101123595497
2021,OH,Ohio,Champaign,39021,Health Outcomes,BPHIGH,High blood pressure among adults,High Blood Pressure,32.2,28.3,36.4,38709,30246,0.2515527950310558
2022,OH,Ohio,Champaign,39021,Prevention,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Annual Checkup,75.8,71.8,79.7,38709,30246,0.1042216358839051
2022,OH,Ohio,Champaign,39021,Health Risk Behaviors,CSMOKING,Current cigarette smoking among adults,Current Cigarette Smoking,19,16.7,21.4,38709,30246,0.24736842105263154
2022,OH,Ohio,Champaign,39021,Health Outcomes,DEPRESSION,Depression among adults,Depression,27.6,23.8,31.8,38709,30246,0.2898550724637681
2022,OH,Ohio,Champaign,39021,Health Outcomes,DIABETES,Diagnosed diabetes among adults,Diabetes,11.1,9.6,12.7,38709,30246,0.27927927927927926
2022,OH,Ohio,Champaign,39021,Health-Related Social Needs,FOODINSECU,Food insecurity in the past 12 months among adults,Food Insecurity,12.8,11.4,14.4,38709,30246,0.234375
2022,OH,Ohio,Champaign,39021,Health-Related Social Needs,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,8.2,7.4,9,38709,30246,0.19512195121951217
2022,OH,Ohio,Champaign,39021,Health Risk Behaviors,LPA,No leisure-time physical activity among adults,Physical Inactivity,25.2,21.2,29.4,38709,30246,0.32539682539682535
2022,OH,Ohio,Champaign,39021,Prevention,MAMMOUSE,Mammography use among women aged 50-74 years,Mammography,76.4,69,82.9,38709,30246,0.18193717277486918
2022,OH,Ohio,Champaign,39021,Health Status,MHLTH,Frequent mental distress among adults,Frequent Mental Distress,20.7,18.8,22.7,38709,30246,0.18840579710144922
2022,OH,Ohio,Champaign,39021,Health Outcomes,OBESITY,Obesity among adults,Obesity,39.7,32.2,47.5,38709,30246,0.3853904282115868
2022,OH,Ohio,Clark,39023,Prevention,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Health Insurance,8,7.1,9,134831,104795,0.23750000000000004
2021,OH,Ohio,Clark,39023,Health Outcomes,BPHIGH,High blood pressure among adults,High Blood Pressure,34.7,30.7,38.7,134831,104795,0.23054755043227673
